feature,kind,nunique,pct_null,std,n_normal,n_fault,mean_normal,std_normal,mean_fault,std_fault,auc,auc_dist,d_pooled,quyet_dinh,ly_do
link-s1-s2.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s2.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.t_source,meta,150,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s1-s3.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s1-s3.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.t_source,meta,150,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s2-s3.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-s3.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.t_source,meta,150,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s2-srv1.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s2-srv1.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s3-srv2.t_source,meta,150,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s3-srv2.status.state,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s3-srv2.traffic.utilIntf,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s3-srv2.traffic.utilDirectionSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s3-srv2.traffic.qdiscReason,text,2,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
link-s3-srv2.traffic.lossSource,text,1,0.0,,0,0,,,,,,,,BO_QUA,chuỗi/nhãn chẩn đoán; audit nunique nhưng không đưa vào mô hình
tick,meta,60,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
source_file,meta,3,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
profile,meta,3,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
run_id,meta,3,0.0,,0,0,,,,,,,,BO_QUA,"siêu dữ liệu của lần chạy, không phải đo lường mạng"
link-s2-s3.traffic.qdiscSentDelta,numeric,4,2.0,0.6229990801608608,59,88,178.52542372881356,0.7276777470592092,178.4431818181818,0.5436774429424788,0.463020030816641,0.07395993836671799,0.1318350035270154,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s2-s3.traffic.rxRate,numeric,4,0.0,9.816923419878927,60,90,2.327,12.637030103252444,0.7782222222222223,7.382864243939777,0.48907407407407405,0.0218518518518519,0.15771072760828428,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s2-s3.traffic.txRate,numeric,148,0.0,37881.33787340669,60,90,265136.6986666667,34815.28834901498,263650.8475555555,39974.81441788455,0.49574074074074076,0.00851851851851848,0.03909925128190868,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-h1-s1.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-h2-s1.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-h3-s1.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s1-s2.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s1-s3.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s2-s3.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
link-s2-srv1.traffic.qdiscValid,bool,2,0.0,0.14046901303903672,60,90,0.9833333333333333,0.12909944487358058,0.9777777777777777,0.14823135407896973,0.49722222222222223,0.005555555555555536,0.03942455219923303,CHAT_VAN,AUC gần 0.5 trong pilot; chưa thấy tách biệt đơn biến theo thứ tự
